abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
吉大通信,17756.06,196204.51,a300597,通信行业100.00%, 280.54,24000.00,265200.00
熙菱信息,9702.20,86349.58,a300588,政府客户100.00%, -2437.00,16325.15,145293.84
数字认证,17403.35,749214.04,a300579,软件和信100.00%, -777.30,18000.00,774900.00
会畅通讯,13880.77,569250.48,a300578,多方通信100.00%, 1340.15,17419.70,714381.71
平治信息,9625.22,454310.37,a300571,互联网和100.00%, 5620.59,12459.77,588101.21
汇金科技,13445.45,212572.64,a300561,软件和信100.00%, 607.10,25373.68,401157.96
中富通,18932.40,377890.70,a300560,"通信技术83.71%,软件行业16.29%", 1393.12,18932.40,377890.70
佳发教育,16246.27,555784.81,a300559,信息服务100.00%, 2738.29,26635.35,911195.31
丝路视觉,8541.22,138367.76,a300556,CG 行100.00%, -1393.09,11787.66,190960.09
万集科技,5568.99,216967.81,a300552,智能交通100.00%, 8130.61,10993.76,428316.89
和仁科技,11285.05,306050.56,a300550,"医疗信息95.43%,其他4.57%", 62.34,11719.05,317820.64
新晨科技,16203.10,227167.52,a300542,软件和信100.00%, -1155.33,23173.01,324885.61
先进数通,14267.45,295764.32,a300541,"国有大型43.19%,区域性银14.53%,其他42.28%", 990.94,18109.67,375413.50
冰川网络,6359.95,301334.52,a300533,"网络游戏99.71%,其他0.29%", 3603.10,10078.12,477501.33
博思软件,14044.79,533561.47,a300525,软件业100.00%, -4626.60,21398.47,812927.75
辰安科技,22752.10,916454.65,a300523,"政府63.72%,企业36.28%", -1969.00,23263.76,937064.41
科大国创,19739.45,340702.99,a300520,"电信26.14%,互联网业25.42%,政府25.25%,能源、金23.18%", -1630.92,25038.48,432164.10
盛讯达,6013.25,135899.39,a300518,"增值电信45.18%,游戏运营27.41%,软件产品25.20%,租赁业务2.21%", 5521.05,9334.00,210948.40
恒实科技,24143.00,315066.14,a300513,"通信行业40.20%,电力行业34.63%,其他行业25.17%", 303.18,31369.12,409366.96
维宏股份,4132.62,97736.43,a300508,雕刻雕铣100.00%, -2887.63,9091.20,215006.88
中科创达,28319.13,1663182.49,a300496,软件和信100.00%, 6696.86,40251.51,2363971.16
盛天网络,14791.72,217586.16,a300494,"互联网运99.58%,金融报告0.42%", 2545.24,24000.00,353040.00
润欣科技,47706.90,426499.65,a300493,软件和信100.00%, 610.21,47706.90,426499.65
信息发展,16573.37,229541.18,a300469,"智慧档案40.60%,智慧食安24.82%,智慧司法19.06%,其他(政15.52%", -2779.40,20513.54,284112.50
四方精创,18628.31,628332.84,a300468,软件与信100.00%, 718.06,18896.83,637389.94
迅游科技,13708.93,205222.66,a300467,"移动互联63.38%,互联网加36.62%", 2136.10,22276.31,333476.31
高伟达,44676.23,566494.54,a300465,银行金融100.00%, -328.95,44676.23,566494.54
金科文化,226991.46,531160.01,a300459,"移动互联70.01%,精细化工29.99%", 21784.40,354354.41,829189.31
深信服,21030.34,3961275.60,a300454,"政府及事52.78%,企业34.36%,金融及其12.86%", -19369.47,40892.71,7702551.61
